	000001.sz	000002.sz	000009.sz	000024.sz	000039.sz	000069.sz	000400.sz	000401.sz	000402.sz	000425.sz	000536.sz	000562.sz	000581.sz	000598.sz	000623.sz	000629.sz	000630.sz	000656.sz	000686.sz	000728.sz
109	12.74	10.86	9.51	30.2	10.11	6.97	14.06	14.32	11.1	13.43	4.83	10.17	7.9	2.62	24.65	5.58	20.99	5.61	27.7	18.1
110	12.5	10.69	9.41	29.2	9.8	6.97	14.06	13.81	10.82	13.77	4.83	9.77	7.76	2.49	24.35	5.49	20.75	5.89	28	17.61
111	12.5	11.14	9.34	29.26	9.66	6.97	14.06	13.36	10.97	13.35	4.83	9.65	7.75	2.49	24.36	5.47	19.67	6.18	27.85	17.55
112	12.5	11.36	9.34	28.59	9.82	7.66	14.06	13.48	11.41	13.51	4.83	10.07	7.62	2.44	24.41	5.43	19.14	6.49	28.8	18.46
113	12.5	11.22	9.41	28.05	9.88	7.88	14.06	13.88	11.25	14.01	4.83	10.01	7.78	2.45	24.23	5.51	19.59	6.81	27.35	18.25
114	12.5	10.89	9.51	27.4	9.63	7.78	14.06	13.55	10.88	13.6	4.83	9.99	7.83	2.47	24.39	5.45	19.28	7.15	26.86	18.1
115	12.5	10.96	9.31	27.1	9.23	7.74	14.06	13.35	10.78	13.38	4.83	9.7	7.47	2.42	23.64	5.42	18.82	7.51	26.36	17.72
116	13.75	11.11	9.26	28.08	9.39	8.02	14.06	13.28	11.12	13.06	4.83	9.93	7.44	2.47	23.48	5.43	18.66	7.89	27.27	18.02
117	14.12	10.83	9.18	27.43	9.31	7.69	14.06	13.21	11.39	13.48	4.83	10.11	7.45	2.65	23.64	5.43	19.08	8.28	27.68	18.15
118	13.88	11.88	9.52	29.2	9.8	8.13	14.06	13.34	12.28	14.08	4.83	10.18	7.37	2.62	23.64	5.48	19.18	8.69	27.5	18.13
119	13.7	11.92	9.92	29.81	9.77	8.2	14.06	13.72	12.74	14.45	4.83	10.19	7.47	2.62	24.4	5.48	19.44	9.12	27.5	18.13
120	13.79	12.39	9.76	30.19	9.94	8.55	14.06	13.78	13	14.11	4.83	10.58	7.37	2.7	25.29	5.49	19.08	9.58	29.05	18.7
