,Comcd,Enddt,QVal,,Year10,Year11,Year12,Year13
577,c000065,2004,1.011516,,0,0,0,0
578,c000065,2005,1.057367,,0,0,0,0
579,c000065,2006,1.012879,,0,0,0,0
580,c000065,2007,2.016708,,0,0,0,0
581,c000065,2008,1.191983,,0,0,0,0
582,c000065,2009,2.68416,,0,0,0,0
583,c000065,2010,2.279174,,1,0,0,0
584,c000065,2011,1.579271,,0,1,0,0
585,c000065,2012,1.242189,,0,0,1,0
586,c000065,2013,1.441177,,0,0,0,1
587,c000066,2003,1.485305,,0,0,0,0
588,c000066,2004,1.431402,,0,0,0,0
589,c000066,2005,1.282267,,0,0,0,0
590,c000066,2006,1.178331,,0,0,0,0
591,c000066,2007,1.599173,,0,0,0,0
592,c000066,2008,1.120835,,0,0,0,0
593,c000066,2009,0.970205,,0,0,0,0
594,c000066,2010,0.847546,,1,0,0,0
595,c000066,2011,0.700208,,0,1,0,0
596,c000066,2012,0.614147,,0,0,1,0
597,c000066,2013,0.70063,,0,0,0,1
598,c000068,2003,1.394555,,0,0,0,0
599,c000068,2004,1.241615,,0,0,0,0
600,c000068,2004,1.241615,,0,0,0,0
601,c000068,2005,1.024977,,0,0,0,0
602,c000068,2006,1.095277,,0,0,0,0
603,c000068,2007,1.474619,,0,0,0,0
604,c000068,2008,0.976306,,0,0,0,0
605,c000068,2009,6.184765,,0,0,0,0
606,c000068,2010,8.797476,,1,0,0,0
607,c000068,2011,15.655831,,0,1,0,0
608,c000068,2012,9.990693,,0,0,1,0
609,c000068,2013,8.464125,,0,0,0,1
610,c000068,2013,8.464125,,0,0,0,1
611,c000069,2003,1.354367,,0,0,0,0
612,c000069,2004,1.337736,,0,0,0,0
613,c000069,2005,1.721286,,0,0,0,0
614,c000069,2006,2.206333,,0,0,0,0
615,c000069,2007,3.258997,,0,0,0,0
616,c000069,2008,1.399652,,0,0,0,0
617,c000069,2009,1.414082,,0,0,0,0
618,c000069,2010,1.026129,,1,0,0,0
619,c000069,2011,0.971407,,0,1,0,0
620,c000069,2012,0.841509,,0,0,1,0
621,c000069,2013,0.675028,,0,0,0,1
622,c000070,2003,1.150068,,0,0,0,0
623,c000070,2004,1.11733,,0,0,0,0
624,c000070,2005,1.076728,,0,0,0,0
625,c000070,2006,1.08112,,0,0,0,0
626,c000070,2007,1.939736,,0,0,0,0
627,c000070,2008,1.07218,,0,0,0,0
628,c000070,2009,2.270613,,0,0,0,0
629,c000070,2010,2.073148,,1,0,0,0
630,c000070,2011,1.339915,,0,1,0,0
631,c000070,2012,1.214683,,0,0,1,0
632,c000070,2013,1.543227,,0,0,0,1
633,c000078,2003,0.99235,,0,0,0,0
634,c000078,2004,0.93689,,0,0,0,0
635,c000078,2005,1.001622,,0,0,0,0
636,c000078,2006,1.060635,,0,0,0,0
637,c000078,2007,1.932076,,0,0,0,0
638,c000078,2008,1.222497,,0,0,0,0
639,c000078,2009,3.139946,,0,0,0,0
640,c000078,2010,2.596597,,1,0,0,0
641,c000078,2011,1.595503,,0,1,0,0
642,c000078,2012,1.401979,,0,0,1,0
643,c000078,2013,1.326289,,0,0,0,1
644,c000088,2003,1.389199,,0,0,0,0
645,c000088,2004,1.682438,,0,0,0,0
646,c000088,2005,1.479602,,0,0,0,0
647,c000088,2006,1.457995,,0,0,0,0
648,c000088,2007,2.280653,,0,0,0,0
649,c000088,2008,1.052599,,0,0,0,0
650,c000088,2009,1.324304,,0,0,0,0
651,c000088,2010,1.132623,,1,0,0,0
652,c000088,2011,1.440774,,0,1,0,0
653,c000088,2012,1.541677,,0,0,1,0
654,c000088,2013,2.171694,,0,0,0,1
655,c000089,2003,1.471458,,0,0,0,0
656,c000089,2004,1.378705,,0,0,0,0
657,c000089,2005,1.209093,,0,0,0,0
658,c000089,2006,1.675038,,0,0,0,0
